,정류소이름
1,우이동성원아파트(09104)
2,우이동도선사입구(09286)
3,한국사회봉사회(10342)
4,연산군.정의공주묘(10184)
5,방학동신동아타워(10186)
6,방학동신동아아파트(10189)
7,국민은행방학지점(10191)
8,신한은행방학동지점(10193)
9,방학사거리(10195)
10,정병원(10304)
11,도봉보건소(10011)
12,도봉구민회관.도봉문화원(10013)
13,쌍문역(10015)
14,우이1교앞(10017)
15,수유3동우체국(09001)
16,수유(강북구청)역(09013)
17,수유역(09003)
18,수유시장.성신여대미아캠퍼스앞(09005)
19,미아역.신일중고(09007)
20,도봉세무서.성북시장(09009)
21,미아사거리역(09011)
22,월곡뉴타운(08001)
23,길음뉴타운(08003)
24,미아리고개.미아리예술극장(08005)
25,돈암사거리.성신여대입구(08007)
26,삼선동주민센터(08175)
27,성북구청.성북경찰서(08177)
28,보문역(08179)
29,보문동성당(08181)
30,보문동주민센터(08183)
31,신설동로터리(01243)
32,동묘앞(01044)
33,동대문(흥인지문)(01037)
34,종로6가.동대문종합시장(01022)
35,종로5가.광장시장(01020)
36,종로4가.종묘(01018)
37,종로3가.탑골공원(01016)
38,종로2가(01014)
39,을지로입구역.광교(02246)
40,롯데백화점(02140)
41,북창동.남대문시장(02127)
42,숭례문(02008)
43,서울역버스환승센터(02004)
44,갈월동(03012)
45,숙대입구역(03010)
46,삼각지역(03008)
47,용산우체국(03006)
48,신용산역(03004)
49,한강대교북단.LG유플러스(03002)
50,노들섬(03340)
51,노들역(20014)
52,노량진역(20012)
53,동작구청정문(20240)
54,동작구청.노량진초등학교앞(20190)
55,장성교회(20192)
56,장승배기역(20151)
57,상도초등학교입구(20150)
58,성대시장(20147)
59,신대방삼거리(20186)
60,보라매병원입구(20188)
61,롯데백화점관악점(21151)
62,패션문화의거리입구(21152)
63,관악우체국.양지병원(21262)
64,KT&G관악지점(21118)
65,봉천역.관악초등학교(21119)
66,KT관악지점(21120)
67,봉천사거리(21121)
68,낙성대동(21122)
69,낙성대입구(21123)
70,인헌중고.서울미술고(21124)
71,예술인마을.사당초등학교(21125)
72,남서울농협남현동지점(21126)
73,사당역4번출구(21161)
74,사당자동차학원(21027)
75,남태령역(21163) - 회차
76,남태령역(22026)
77,사당역(22028)
78,사당1동관악시장앞(20141)
79,예술인마을(20142)
80,서울미술고.인헌중고(21101)
81,낙성대입구(21102)
82,행운동주민센터(21103)
83,서울대입구역5번출구(21104)
84,KT관악지점(21105)
85,봉천역.관악초등학교(21106)
86,KT&G관악지점(21107)
87,관악우체국(양지병원)(21261)
88,패션문화의거리입구(21149)
89,보라매공원.보라매병원(21150)
90,보라매삼성아파트.모자원고개(21263)
91,신대방삼거리(20187)
92,성대시장(20148)
93,상도초등학교입구(20149)
94,청화병원(20193)
95,동작구청.노량진초등학교앞(20191)
96,노량진역3번출구(20114)
97,노량진역(20011)
98,노들역(20013)
99,노들섬(03341)
100,한강대교북단.LG유플러스(03001)
101,신용산역(03003)
102,용산우체국(03005)
103,삼각지역(03007)
104,숙대입구역(03009)
105,갈월동(03011)
106,서울역버스환승센터.강우규의거터(02007)
107,숭례문(02122)
108,남대문시장앞.이회영활동터(02219)
109,롯데영프라자(02142)
110,우리은행종로지점(02139)
111,종로2가(01013)
112,종로3가.탑골공원(01015)
113,종로4가.종묘(01017)
114,종로5가.광장시장(01019)
115,종로6가.동대문종합시장(01021)
116,동대문역.흥인지문(01023)
117,동묘앞(01041)
118,신설동역1번출구(06107)
119,보문동주민센터(08184)
120,보문동성당(08182)
121,보문역(08180)
122,성북구청.성북경찰서(08178)
123,삼선동주민센터(08176)
124,돈암사거리.성신여대입구(08008)
125,미아리고개.미아리예술극장(08006)
126,길음뉴타운(08004)
127,월곡뉴타운(08002)
128,미아사거리역(09012)
129,도봉세무서.성북시장(09010)
130,미아역.신일중고(09008)
131,수유시장.성신여대미아캠퍼스앞(09006)
132,수유역.강북구청(09004)
133,수유3동우체국(09002)
134,우이1교앞(10018)
135,쌍문역(10016)
136,도봉구민회관.도봉문화원(10014)
137,도봉보건소.북한산아이파크아파트(10012)
138,방학사거리(10196)
139,신한은행방학동지점(10194)
140,국민은행방학지점(10192)
141,방학동신동아아파트(10190)
142,방학동신동아타워(10187)
143,연산군정의공주묘(10185)
144,한국사회봉사회(10343)
145,우이동도선사입구.북한산우이역(09102)
